,president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp,datenumber
202,Donald Trump,All polls,10/7/2020,3/6/2017,3/8/2017,YouGov,B,1000.0,a,0.13023434,0.0,42.0,49.0,42.923164,50.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67147,125458,7/17/2020,19:17:36  7 Oct 2020,17233.0
203,Donald Trump,All polls,10/7/2020,3/6/2017,3/7/2017,YouGov,B,1500.0,a,0.19535151,0.0,42.0,49.0,42.923164,50.870313,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6dlem7baz2/econToplines.pdf,49465,77659,3/8/2017,19:17:36  7 Oct 2020,17232.0
208,Donald Trump,All polls,10/7/2020,3/7/2017,3/9/2017,YouGov,B,1000.0,a,0.13131025,0.0,39.0,49.0,39.923164,50.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67148,125459,7/17/2020,19:17:36  7 Oct 2020,17234.0
211,Donald Trump,All polls,10/7/2020,3/8/2017,3/10/2017,YouGov,B,1000.0,a,0.13244434,0.0,40.0,50.0,40.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67149,125460,7/17/2020,19:17:36  7 Oct 2020,17235.0
215,Donald Trump,All polls,10/7/2020,3/9/2017,3/11/2017,YouGov,B,1000.0,a,0.13288158,0.0,42.0,50.0,42.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67150,125461,7/17/2020,19:17:36  7 Oct 2020,17236.0
219,Donald Trump,All polls,10/7/2020,3/10/2017,3/12/2017,YouGov,B,1000.0,a,0.1326287,0.0,39.0,51.0,39.923164,52.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67151,125462,7/17/2020,19:17:36  7 Oct 2020,17237.0
227,Donald Trump,All polls,10/7/2020,3/11/2017,3/13/2017,YouGov,B,1000.0,a,0.13227449,0.0,43.0,48.0,43.923164,49.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67152,125463,7/17/2020,19:17:36  7 Oct 2020,17238.0
233,Donald Trump,All polls,10/7/2020,3/13/2017,3/15/2017,YouGov,B,1000.0,a,0.13043093,0.0,39.0,52.0,39.923164,53.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67153,125464,7/17/2020,19:17:36  7 Oct 2020,17240.0
237,Donald Trump,All polls,10/7/2020,3/13/2017,3/14/2017,YouGov,B,1500.0,a,0.1956464,0.0,41.0,49.0,41.923164,50.870313,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/cik6umkx7a/econTabReport.pdf,49489,77700,3/15/2017,19:17:36  7 Oct 2020,17239.0
240,Donald Trump,All polls,10/7/2020,3/14/2017,3/16/2017,YouGov,B,1000.0,a,0.1305269,0.0,40.0,48.0,40.923164,49.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67154,125465,7/17/2020,19:17:36  7 Oct 2020,17241.0
245,Donald Trump,All polls,10/7/2020,3/15/2017,3/17/2017,YouGov,B,1000.0,a,0.13071444,0.0,43.0,47.0,43.923164,48.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67155,125466,7/17/2020,19:17:36  7 Oct 2020,17242.0
249,Donald Trump,All polls,10/7/2020,3/16/2017,3/18/2017,YouGov,B,1000.0,a,0.13022767,0.0,42.0,49.0,42.923164,50.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67156,125467,7/17/2020,19:17:36  7 Oct 2020,17243.0
252,Donald Trump,All polls,10/7/2020,3/17/2017,3/19/2017,YouGov,B,1000.0,a,0.12971359,0.0,42.0,50.0,42.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67157,125468,7/17/2020,19:17:36  7 Oct 2020,17244.0
261,Donald Trump,All polls,10/7/2020,3/18/2017,3/20/2017,YouGov,B,1000.0,a,0.1286361,0.0,43.0,47.0,43.923164,48.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67158,125469,7/17/2020,19:17:36  7 Oct 2020,17245.0
264,Donald Trump,All polls,10/7/2020,3/19/2017,3/21/2017,YouGov,B,1500.0,a,0.19138767,0.0,41.0,46.0,41.923164,47.870313,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9atsoe30n9/econToplines.pdf,49521,77747,3/22/2017,19:17:36  7 Oct 2020,17246.0
267,Donald Trump,All polls,10/7/2020,3/19/2017,3/21/2017,YouGov,B,1000.0,a,0.12759178,0.0,40.0,49.0,40.923164,50.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67515,126307,7/17/2020,19:17:36  7 Oct 2020,17246.0
271,Donald Trump,All polls,10/7/2020,3/20/2017,3/22/2017,YouGov,B,1000.0,a,0.12795151,0.0,40.0,51.0,40.923164,52.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67159,125471,7/17/2020,19:17:36  7 Oct 2020,17247.0
273,Donald Trump,All polls,10/7/2020,3/21/2017,3/23/2017,YouGov,B,1000.0,a,0.12821249,0.0,40.0,50.0,40.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67160,125472,7/17/2020,19:17:36  7 Oct 2020,17248.0
280,Donald Trump,All polls,10/7/2020,3/22/2017,3/24/2017,YouGov,B,1000.0,a,0.128475,0.0,40.0,52.0,40.923164,53.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67161,125473,7/17/2020,19:17:36  7 Oct 2020,17249.0
283,Donald Trump,All polls,10/7/2020,3/23/2017,3/25/2017,YouGov,B,1000.0,a,0.12810789,0.0,39.0,50.0,39.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67162,125474,7/17/2020,19:17:36  7 Oct 2020,17250.0
288,Donald Trump,All polls,10/7/2020,3/24/2017,3/26/2017,YouGov,B,1000.0,a,0.12811913,0.0,39.0,51.0,39.923164,52.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67163,125475,7/17/2020,19:17:36  7 Oct 2020,17251.0
293,Donald Trump,All polls,10/7/2020,3/25/2017,3/27/2017,YouGov,B,1000.0,a,0.12761164,0.0,41.0,48.0,41.923164,49.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67164,125476,7/17/2020,19:17:36  7 Oct 2020,17252.0
296,Donald Trump,All polls,10/7/2020,3/26/2017,3/28/2017,YouGov,B,1500.0,a,0.19077495,0.0,41.0,47.0,41.923164,48.870313,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6xp8fd6vvl/econToplines.pdf,49546,77789,3/29/2017,19:17:36  7 Oct 2020,17253.0
300,Donald Trump,All polls,10/7/2020,3/26/2017,3/28/2017,YouGov,B,1000.0,a,0.1271833,0.0,37.0,53.0,37.923164,54.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67516,126308,7/17/2020,19:17:36  7 Oct 2020,17253.0
306,Donald Trump,All polls,10/7/2020,3/27/2017,3/29/2017,YouGov,B,1000.0,a,0.12812144,0.0,37.0,52.0,37.923164,53.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67165,125478,7/17/2020,19:17:36  7 Oct 2020,17254.0
311,Donald Trump,All polls,10/7/2020,3/28/2017,3/30/2017,YouGov,B,1000.0,a,0.12938264,0.0,39.0,50.0,39.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67166,125479,7/17/2020,19:17:36  7 Oct 2020,17255.0
316,Donald Trump,All polls,10/7/2020,3/29/2017,3/31/2017,YouGov,B,1000.0,a,0.13067823,0.0,39.0,51.0,39.923164,52.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67167,125480,7/17/2020,19:17:36  7 Oct 2020,17256.0
321,Donald Trump,All polls,10/7/2020,3/30/2017,4/1/2017,YouGov,B,1000.0,a,0.13197486,0.0,38.0,53.0,38.923164,54.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67168,125481,7/17/2020,19:17:36  7 Oct 2020,17257.0
326,Donald Trump,All polls,10/7/2020,3/31/2017,4/2/2017,YouGov,B,1000.0,a,0.13200138,0.0,37.0,51.0,37.923164,52.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67169,125482,7/17/2020,19:17:36  7 Oct 2020,17258.0
331,Donald Trump,All polls,10/7/2020,4/1/2017,4/3/2017,YouGov,B,1000.0,a,0.13203181,0.0,38.0,51.0,38.923164,52.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67170,125483,7/17/2020,19:17:36  7 Oct 2020,17259.0
334,Donald Trump,All polls,10/7/2020,4/2/2017,4/4/2017,YouGov,B,1000.0,a,0.13206619,0.0,39.0,49.0,39.923164,50.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67517,126309,7/17/2020,19:17:36  7 Oct 2020,17260.0
337,Donald Trump,All polls,10/7/2020,4/2/2017,4/4/2017,YouGov,B,1500.0,a,0.19809928,0.0,40.0,48.0,40.923164,49.870313,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/2f8nhwlimu/econToplines.pdf,49578,77838,4/5/2017,19:17:36  7 Oct 2020,17260.0
338,Donald Trump,All polls,10/7/2020,4/3/2017,4/5/2017,YouGov,B,1000.0,a,0.13367707,0.0,42.0,46.0,42.923164,47.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67171,125485,7/17/2020,19:17:36  7 Oct 2020,17261.0
344,Donald Trump,All polls,10/7/2020,4/4/2017,4/6/2017,YouGov,B,1000.0,a,0.13568637,0.0,39.0,50.0,39.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67172,125486,7/17/2020,19:17:36  7 Oct 2020,17262.0
348,Donald Trump,All polls,10/7/2020,4/5/2017,4/7/2017,YouGov,B,1000.0,a,0.13827287,0.0,38.0,50.0,38.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67173,125487,7/17/2020,19:17:36  7 Oct 2020,17263.0
351,Donald Trump,All polls,10/7/2020,4/6/2017,4/8/2017,YouGov,B,1000.0,a,0.14021643,0.0,38.0,50.0,38.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67174,125488,7/17/2020,19:17:36  7 Oct 2020,17264.0
362,Donald Trump,All polls,10/7/2020,4/8/2017,4/10/2017,YouGov,B,1000.0,a,0.14123577,0.0,43.0,48.0,43.923164,49.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67175,125489,7/17/2020,19:17:36  7 Oct 2020,17266.0
366,Donald Trump,All polls,10/7/2020,4/9/2017,4/11/2017,YouGov,B,1000.0,a,0.14112087,0.0,40.0,50.0,40.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67176,125490,7/17/2020,19:17:36  7 Oct 2020,17267.0
370,Donald Trump,All polls,10/7/2020,4/10/2017,4/11/2017,YouGov,B,1500.0,a,0.21193686,0.0,40.0,50.0,40.923164,51.870313,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/mmzsh8ncey/econToplines.pdf,49604,77880,4/12/2017,19:17:36  7 Oct 2020,17267.0
375,Donald Trump,All polls,10/7/2020,4/10/2017,4/12/2017,YouGov,B,1000.0,a,0.14129124,0.0,42.0,47.0,42.923164,48.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67177,125491,7/17/2020,19:17:36  7 Oct 2020,17268.0
378,Donald Trump,All polls,10/7/2020,4/11/2017,4/13/2017,YouGov,B,1000.0,a,0.1434036,0.0,40.0,50.0,40.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67178,125492,7/17/2020,19:17:36  7 Oct 2020,17269.0
382,Donald Trump,All polls,10/7/2020,4/12/2017,4/14/2017,YouGov,B,1000.0,a,0.14561612,0.0,42.0,47.0,42.923164,48.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67179,125493,7/17/2020,19:17:36  7 Oct 2020,17270.0
387,Donald Trump,All polls,10/7/2020,4/13/2017,4/15/2017,YouGov,B,1000.0,a,0.14704933,0.0,42.0,47.0,42.923164,48.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67180,125494,7/17/2020,19:17:36  7 Oct 2020,17271.0
398,Donald Trump,All polls,10/7/2020,4/15/2017,4/18/2017,YouGov,B,1500.0,a,0.21648456,0.0,41.0,49.0,41.923164,50.870313,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/csm5blp5g2/econToplines.pdf,49629,77921,4/19/2017,19:17:36  7 Oct 2020,17274.0
399,Donald Trump,All polls,10/7/2020,4/16/2017,4/18/2017,YouGov,B,1000.0,a,0.14432304,0.0,43.0,46.0,43.923164,47.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67181,125495,7/17/2020,19:17:36  7 Oct 2020,17274.0
402,Donald Trump,All polls,10/7/2020,4/17/2017,4/19/2017,YouGov,B,1000.0,a,0.14386773,0.0,41.0,48.0,41.923164,49.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67182,125496,7/17/2020,19:17:36  7 Oct 2020,17275.0
409,Donald Trump,All polls,10/7/2020,4/18/2017,4/20/2017,YouGov,B,1000.0,a,0.14341578,0.0,40.0,45.0,40.923164,46.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67183,125497,7/17/2020,19:17:36  7 Oct 2020,17276.0
416,Donald Trump,All polls,10/7/2020,4/19/2017,4/21/2017,YouGov,B,1000.0,a,0.14352122,0.0,46.0,45.0,46.923164,46.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67184,125498,7/17/2020,19:17:36  7 Oct 2020,17277.0
427,Donald Trump,All polls,10/7/2020,4/21/2017,4/23/2017,YouGov,B,1000.0,a,0.14069691,0.0,43.0,48.0,43.923164,49.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67185,125499,7/17/2020,19:17:36  7 Oct 2020,17279.0
430,Donald Trump,All polls,10/7/2020,4/22/2017,4/24/2017,YouGov,B,1000.0,a,0.13795774,0.0,41.0,47.0,41.923164,48.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67186,125500,7/17/2020,19:17:36  7 Oct 2020,17280.0
433,Donald Trump,All polls,10/7/2020,4/23/2017,4/25/2017,YouGov,B,1500.0,a,0.20304346,0.0,42.0,49.0,42.923164,50.870313,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/vndekayz1x/econTabReport.pdf,49656,77955,4/26/2017,19:17:36  7 Oct 2020,17281.0
436,Donald Trump,All polls,10/7/2020,4/23/2017,4/25/2017,YouGov,B,1000.0,a,0.13536231,0.0,41.0,48.0,41.923164,49.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67518,126310,7/17/2020,19:17:36  7 Oct 2020,17281.0
443,Donald Trump,All polls,10/7/2020,4/24/2017,4/26/2017,YouGov,B,1000.0,a,0.13431177,0.0,40.0,50.0,40.923164,51.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67187,125502,7/17/2020,19:17:36  7 Oct 2020,17282.0
448,Donald Trump,All polls,10/7/2020,4/25/2017,4/27/2017,YouGov,B,1000.0,a,0.13327961,0.0,41.0,48.0,41.923164,49.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67188,125503,7/17/2020,19:17:36  7 Oct 2020,17283.0
451,Donald Trump,All polls,10/7/2020,4/26/2017,4/28/2017,YouGov,B,1000.0,a,0.13270723,0.0,42.0,46.0,42.923164,47.870313,,,https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67189,125504,7/17/2020,19:17:36  7 Oct 2020,17284.0
